Id;Marker;X;Y
0;1;0.0000000000000000e+00;0.0000000000000000e+00
1;2;1,00E+16;0.0000000000000000e+00
2;3;1,00E+16;1,00E+16
3;4;0.0000000000000000e+00;1,00E+16
4;0;5,00E+15;5,00E+15
5;8;0.0000000000000000e+00;5,00E+15
6;5;5,00E+15;0.0000000000000000e+00
7;6;1,00E+16;5,00E+15
8;7;5,00E+15;1,00E+16
9;0;7,50E+15;2,50E+15
10;0;2,50E+15;7,50E+15
11;0;7,50E+15;7,50E+15
12;0;5,00E+15;2,50E+15
13;0;2,50E+15;3,75E+15
14;0;3,13E+15;5,63E+15
15;8;0.0000000000000000e+00;2,50E+15
16;5;7,50E+15;0.0000000000000000e+00
17;6;1,00E+16;2,50E+15
18;0;7,50E+15;5,00E+15
19;0;5,00E+15;7,50E+15
20;7;2,50E+15;1,00E+16
21;8;0.0000000000000000e+00;7,50E+15
22;6;1,00E+16;7,50E+15
23;7;7,50E+15;1,00E+16
24;5;2,50E+15;0.0000000000000000e+00
25;0;3,13E+15;1,88E+15
26;8;0.0000000000000000e+00;1,97E+15
27;0;2,89E+14;2,21E+15
28;0;4,52E+13;2,01E+15
29;0;5,10E+14;2,40E+15
30;0;1,55E+15;3,28E+15
31;0;2,26E+15;3,87E+15
32;0;2,65E+15;4,20E+15
33;0;4,00E+15;5,33E+15
34;0;5,00E+15;6,18E+15
35;0;6,57E+15;7,50E+15
36;0;5,58E+15;6,67E+15
37;0;2,84E+15;2,72E+15
38;0;3,98E+15;3,01E+15
39;0;3,25E+15;2,82E+15
40;0;5,00E+15;3,27E+15
41;0;6,38E+15;3,62E+15
42;0;7,50E+15;3,91E+15
43;0;9,40E+15;4,40E+15
44;0;8,68E+15;4,22E+15
45;0;9,23E+15;4,36E+15
46;0;7,13E+15;5,00E+15
47;0;7,34E+15;7,34E+15
48;0;7,33E+15;7,19E+15
49;0;7,35E+15;7,50E+15
50;0;7,37E+15;7,63E+15
51;0;7,50E+15;9,09E+15
52;7;7,58E+15;1,00E+16
53;0;7,51E+15;9,24E+15
54;0;9,79E+15;5,00E+15
55;0;9,64E+15;5,36E+15
56;0;9,64E+15;5,35E+15
57;0;8,74E+15;7,50E+15
58;0;8,37E+15;8,37E+15
59;7;7,68E+15;1,00E+16
60;0;7,93E+15;9,43E+15
61;0;5,49E+15;9,51E+15
62;0;6,19E+15;7,50E+15
63;0;5,75E+15;8,78E+15
64;0;6,28E+15;7,25E+15
65;0;6,53E+15;6,53E+15
66;0;7,06E+15;5,00E+15
67;0;6,97E+15;5,26E+15
68;0;7,44E+15;3,90E+15
69;0;7,23E+15;4,51E+15
70;0;5,00E+15;1,02E+14
71;0;7,15E+15;2,50E+15
72;0;5,47E+15;6,32E+14
73;0;6,36E+15;1,63E+15
74;0;7,31E+15;2,69E+15
75;0;7,50E+15;2,90E+15
76;0;9,38E+15;5,00E+15
77;0;9,30E+15;4,90E+15
78;6;1,00E+16;9,67E+15
79;0;9,65E+15;9,65E+15
80;0;9,70E+15;9,65E+15
81;0;7,88E+15;9,54E+15
82;0;8,80E+15;9,59E+15
83;0;4,21E+15;9,21E+15
84;0;5,00E+15;8,08E+15
85;0;4,95E+15;8,14E+15
86;0;5,40E+15;7,50E+15
87;0;5,84E+15;6,88E+15
88;0;6,27E+15;6,27E+15
89;0;7,13E+15;5,03E+15
90;0;7,15E+15;5,00E+15
91;0;7,15E+15;5,00E+15
92;8;0.0000000000000000e+00;2,67E+15
93;0;1,74E+15;3,44E+15
94;0;1,49E+14;2,73E+15
95;0;1,67E+15;3,40E+15
96;0;5,00E+15;4,01E+14
97;0;5,55E+15;8,97E+14
98;0;7,34E+15;2,50E+15
99;0;7,42E+15;2,58E+15
100;0;7,50E+15;2,65E+15
101;0;8,94E+15;3,94E+15
102;0;7,76E+15;2,88E+15
